Time (Minute),Coffee Temp
0,80
1,76.13333
2,72.52444
3,69.15615
4,66.01241
5,63.07824
6,60.33969
7,57.78371
8,55.39813
9,53.17159
10,51.09348
11,49.15392
12,47.34366
13,45.65408
14,44.07714
15,42.60533
16,41.23164
17,39.94954
18,38.7529
19,37.63604
20,36.59364
21,35.62073
22,34.71268
23,33.86517
24,33.07416
25,32.33588
26,31.64682
27,31.0037
28,30.40345
29,29.84322
30,29.32034
31,28.83232
32,28.37683
33,27.95171
34,27.55493
35,27.1846
36,26.83896
37,26.51636
38,26.21527
39,25.93426
40,25.67197
41,25.42717
42,25.1987
43,24.98545
44,24.78642
45,24.60066
46,24.42728
47,24.26546
48,24.11443
49,23.97347
50,23.8419
51,23.71911
52,23.6045
53,23.49754
54,23.3977
55,23.30452
56,23.21755
57,23.13638
58,23.06062
59,22.98992
60,22.92392
61,22.86233
62,22.80484
63,22.75118
64,22.7011
65,22.65436
66,22.61074
67,22.57002
68,22.53202
69,22.49655
70,22.46345
71,22.43255
72,22.40372
73,22.3768
74,22.35168
75,22.32824
76,22.30635
77,22.28593
78,22.26687
79,22.24907
80,22.23247
81,22.21697
82,22.20251
83,22.18901
84,22.17641
85,22.16465
86,22.15367
87,22.14342
88,22.13386
89,22.12494
90,22.11661
91,22.10884
92,22.10158
93,22.09481
94,22.08849
95,22.08259
96,22.07708
97,22.07194
98,22.06715
99,22.06267
100,22.05849
