"[c1,r1]","[c1,r2]","[c1,r3]","[c2,r1]","[c2,r2]","[c2,r3]","[c3,r1]","[c3,r2]","[c3,r3]"
100,95,90,85,80,75,70,65,60
96.25,91.35,86.5,81,76.13333,71.33334,65.5,60.7,56
92.6875,87.8825,83.175,77.26667,72.52444,67.91111,61.45,56.83,52.4
89.30312,84.58837,80.01625,73.78223,69.15615,64.71703,57.805,53.347,49.16
86.08797,81.45895,77.01544,70.53008,66.01241,61.7359,54.5245,50.2123,46.244
83.03357,78.48601,74.16467,67.49474,63.07824,58.9535,51.57205,47.39107,43.6196
80.13189,75.66171,71.45644,64.66175,60.33969,56.3566,48.91485,44.85196,41.25764
77.3753,72.97862,68.88361,62.01764,57.78371,53.93283,46.52337,42.56676,39.13187
74.75653,70.42969,66.43943,59.54979,55.39813,51.67064,44.37103,40.51009,37.21869
72.26871,68.0082,64.11746,57.24648,53.17159,49.55926,42.43393,38.65908,35.49682
69.90527,65.70779,61.91159,55.09671,51.09348,47.58864,40.69053,36.99317,33.94714
67.66001,63.5224,59.81601,53.09026,49.15392,45.7494,39.12148,35.49385,32.55242
65.52701,61.44629,57.82521,51.21758,47.34366,44.03278,37.70933,34.14447,31.29718
63.50066,59.47397,55.93395,49.46974,45.65408,42.43059,36.4384,32.93002,30.16746
61.57562,57.60027,54.13725,47.83842,44.07714,40.93522,35.29456,31.83702,29.15071
59.74684,55.82026,52.43039,46.31586,42.60533,39.53954,34.2651,30.85332,28.23564
58.0095,54.12925,50.80887,44.89481,41.23164,38.2369,33.33859,29.96799,27.41208
56.35902,52.52279,49.26842,43.56849,39.94954,37.02111,32.50473,29.17119,26.67087
54.79107,50.99665,47.805,42.33059,38.7529,35.88637,31.75426,28.45407,26.00378
53.30152,49.54681,46.41475,41.17521,37.63604,34.82728,31.07883,27.80866,25.40341
51.88644,48.16947,45.09402,40.09687,36.59364,33.83879,30.47095,27.2278,24.86307
50.54212,46.861,43.83932,39.09041,35.62073,32.91621,29.92386,26.70502,24.37676
49.26501,45.61795,42.64735,38.15105,34.71268,32.05513,29.43147,26.23452,23.93908
48.05176,44.43705,41.51498,37.27431,33.86517,31.25146,28.98832,25.81106,23.54518
46.89917,43.3152,40.43924,36.45602,33.07416,30.50136,28.58949,25.42996,23.19066
45.80421,42.24944,39.41727,35.69229,32.33588,29.80127,28.23054,25.08696,22.87159
44.764,41.23697,38.44641,34.97947,31.64682,29.14785,27.90749,24.77826,22.58443
43.7758,40.27512,37.52409,34.31417,31.0037,28.53799,27.61674,24.50044,22.32599
42.83701,39.36136,36.64788,33.69323,30.40345,27.96879,27.35506,24.25039,22.09339
41.94516,38.49329,35.81549,33.11368,29.84322,27.43754,27.11956,24.02536,21.88405
41.0979,37.66863,35.02472,32.57277,29.32034,26.9417,26.9076,23.82282,21.69565
40.29301,36.8852,34.27348,32.06791,28.83232,26.47892,26.71684,23.64054,21.52608
39.52836,36.14094,33.55981,31.59672,28.37683,26.047,26.54516,23.47649,21.37347
38.80194,35.43389,32.88182,31.15694,27.95171,25.64386,26.39064,23.32884,21.23613
38.11184,34.7622,32.23772,30.74648,27.55493,25.2676,26.25158,23.19596,21.11251
37.45625,34.12408,31.62584,30.36338,27.1846,24.91643,26.12642,23.07636,21.00126
36.83344,33.51788,31.04455,30.00582,26.83896,24.58867,26.01378,22.96872,20.90113
36.24176,32.94199,30.49232,29.6721,26.51636,24.28276,25.9124,22.87185,20.81102
35.67968,32.39489,29.9677,29.36062,26.21527,23.99724,25.82116,22.78467,20.72992
35.14569,31.87514,29.46932,29.06991,25.93426,23.73076,25.73904,22.7062,20.65693
